x	y	zb	h	qx	qy
227166.892	2563510.507	587.330		0	0	0
227204.132	2562527.507	589.143		0	0	0
226351.848	2562025.516	568.667		0	0	0
226891.234	2564098.587	677.927		0	0	0
227141.884	2562704.353	593.340		0	0	0
227166.202	2563515.145	584.993		0	0	0
226769.509	2561946.861	550.203		0	0	0
227444.030	2564372.239	591.733		0	0	0
227111.366	2564525.397	589.760		1.68116	1.3383	-3.20214
227130.440	2562810.338	587.400		0	0	0
227467.920	2564323.653	593.977		0	0	0
226375.548	2562128.473	579.920		0	0	0
226353.718	2562021.014	568.597		0	0	0
226374.449	2562010.270	560.677		0	0	0
226617.467	2562323.973	594.073		0	0	0
227221.946	2562242.050	643.183		0	0	0
227134.607	2562807.644	587.023		0	0	0
226489.449	2563129.185	634.163		0	0	0
226342.502	2562063.556	570.540		0	0	0
226774.462	2561948.608	549.707		0	0	0
226569.599	2563010.265	644.920		0	0	0
226631.757	2562896.543	631.703		0	0	0
227095.750	2564475.693	588.767		0.763772	-0.914367	-1.47935
226648.084	2563707.593	652.723		0	0	0
226742.403	2562416.849	619.407		0	0	0
226574.833	2561985.946	536.223		0	0	0
226715.161	2563806.455	659.560		0	0	0
226705.133	2562756.126	643.837		0	0	0
226744.599	2562421.375	621.187		0	0	0
226913.750	2561989.450	572.760		0	0	0
226369.800	2562013.888	564.523		0	0	0
227294.613	2563664.145	601.310		0	0	0
226471.545	2562237.398	592.247		0	0	0
227478.063	2564276.827	603.467		0	0	0
227185.655	2563549.132	582.147		0	0	0
226705.847	2561985.690	536.840		0	0	0
227301.118	2563665.987	610.500		0	0	0
227279.813	2562353.697	609.280		0	0	0
226533.848	2563402.902	618.613		0	0	0
226709.191	2561980.915	536.680		0	0	0
227090.755	2563251.169	647.617		0	0	0
227140.469	2563484.507	592.543		0	0	0
226638.729	2563703.209	652.163		0	0	0
226543.352	2563504.156	594.060		0	0	0
227069.810	2562094.367	629.303		0	0	0
226908.591	2561989.683	571.097		0	0	0
226750.917	2562576.413	628.110		0	0	0
226608.772	2562941.777	619.773		0	0	0
226639.093	2563698.480	651.883		0	0	0
226660.089	2562355.761	597.570		0	0	0
226656.023	2562353.462	597.513		0	0	0
226897.404	2561977.952	572.507		0	0	0
227132.389	2564564.883	591.147		1.40577	-0.208276	-4.55686
226881.036	2561966.164	569.630		0	0	0
227232.526	2563592.534	587.107		0	0	0
226875.709	2561965.725	569.163		0	0	0
227302.332	2563671.170	603.433		0	0	0
226651.590	2562864.126	638.783		0	0	0
226787.276	2563909.671	666.417		0	0	0
226891.996	2561977.738	572.090		0	0	0
227438.262	2564387.619	592.307		0	0	0
227478.562	2563907.426	609.880		0	0	0
226692.499	2561979.112	536.720		0	0	0
226829.352	2561936.477	562.900		0	0	0
226642.547	2562880.549	634.757		0	0	0
226733.646	2562548.232	642.930		0	0	0
227034.747	2564325.078	649.103		0	0	0
227079.915	2563264.974	632.737		0	0	0
226800.878	2561942.440	556.530		0	0	0
226561.763	2563570.793	628.670		0	0	0
227004.806	2564278.235	681.133		0	0	0
227232.263	2563597.602	586.233		0	0	0
227135.464	2562801.118	587.203		0	0	0
226735.328	2562390.690	605.433		0	0	0
226408.667	2562007.644	539.707		0	0	0
226398.823	2562008.926	540.563		0	0	0
227252.654	2564561.374	592.543		1.11731	-1.28935	-4.01433
226699.415	2563782.481	657.773		0	0	0
227132.058	2562797.305	586.530		0	0	0
226721.796	2561956.596	536.280		0	0	0
227251.188	2563627.288	588.717		0	0	0
227243.022	2563621.511	587.287		0	0	0
226676.713	2562819.365	657.143		0	0	0
226494.847	2562000.842	539.807		0	0	0
227265.740	2562356.008	603.933		0	0	0
226824.241	2563978.788	649.200		0	0	0
227480.382	2563913.441	609.620		0	0	0
227362.474	2563731.746	637.727		0	0	0
227337.259	2564542.149	593.050		1.32632	-2.17645	-4.73662
227009.461	2564286.503	675.623		0	0	0
226609.125	2562329.646	594.863		0	0	0
226736.172	2562553.762	642.357		0	0	0
226476.912	2562237.035	592.200		0	0	0
227260.515	2562314.094	640.380		0	0	0
227055.310	2562088.408	624.573		0	0	0
226704.469	2562363.350	595.057		0	0	0
227229.306	2564556.923	590.637		1.98739	-3.43088	-4.69275
227071.100	2562083.782	632.980		0	0	0
226577.732	2561981.596	536.123		0	0	0
226739.228	2562394.641	608.020		0	0	0
226712.507	2562368.558	595.643		0	0	0
227117.606	2563376.070	623.250		0	0	0
226686.517	2562361.588	596.380		0	0	0
227440.506	2564377.088	592.053		0	0	0
226642.804	2563707.765	652.657		0	0	0
226714.387	2562373.349	596.993		0	0	0
226769.202	2563888.517	665.590		0	0	0
227430.628	2563805.216	639.697		0	0	0
227271.004	2562356.818	605.077		0	0	0
227105.161	2564497.682	589.353		0.447921	-0.45658	-0.32413
226710.821	2562757.778	640.503		0	0	0
227034.893	2564319.996	649.493		0	0	0
227329.128	2563696.719	619.320		0	0	0
227177.780	2562582.127	595.507		0	0	0
226742.860	2562447.208	630.113		0	0	0
226738.889	2562449.839	629.647		0	0	0
227272.881	2564559.155	592.740		1.19203	-0.631433	-4.25886
227075.165	2564359.227	621.003		0	0	0
226730.481	2563823.166	660.817		0	0	0
226687.978	2562366.481	597.503		0	0	0
226804.054	2563932.232	661.160		0	0	0
226481.085	2563278.538	630.437		0	0	0
226528.084	2563403.941	621.443		0	0	0
227403.753	2564532.837	595.770		0.999525	0.00694439	-1.88369
227332.865	2564539.515	592.510		1.34838	-2.54902	-5.6532
227516.101	2564048.487	610.273		0	0	0
226544.309	2563415.655	605.303		0	0	0
226552.024	2563585.775	634.263		0	0	0
226515.587	2563368.962	641.860		0	0	0
227199.716	2562531.028	589.550		0	0	0
227534.867	2564104.514	617.310		0	0	0
226771.530	2563902.268	666.863		0	0	0
226315.845	2562034.575	564.913		0	0	0
226479.935	2562243.100	592.427		0	0	0
227060.430	2564374.286	628.230		0	0	0
227175.242	2562586.957	595.617		0	0	0
226607.082	2562951.884	616.603		0	0	0
226621.691	2563689.242	651.507		0	0	0
226628.339	2563697.289	652.027		0	0	0
226930.349	2564181.223	685.987		0	0	0
226403.981	2562182.048	589.447		0	0	0
226749.132	2562520.203	621.760		0	0	0
226727.766	2562511.639	630.937		0	0	0
227076.991	2562101.309	632.430		0	0	0
226541.031	2563494.612	589.340		0	0	0
226706.308	2562367.929	595.883		0	0	0
226405.977	2562019.871	540.117		0	0	0
226547.732	2563419.252	600.307		0	0	0
226542.081	2562279.628	592.813		0	0	0
226732.550	2562558.187	643.697		0	0	0
227226.792	2562472.338	578.443		0	0	0
226538.691	2563532.251	603.037		0	0	0
226558.389	2563600.932	641.320		0	0	0
226545.367	2563459.860	591.107		0	0	0
226748.700	2562571.002	631.667		0	0	0
226540.870	2563395.387	617.680		0	0	0
226559.518	2563565.459	627.503		0	0	0
226718.746	2561977.598	536.593		0	0	0
226535.350	2563396.857	622.257		0	0	0
226545.871	2563455.339	591.337		0	0	0
227129.125	2563497.955	583.513		0	0	0
227222.502	2562474.161	578.833		0	0	0
227178.774	2562188.709	646.683		0	0	0
227113.858	2563372.942	621.763		0	0	0
227150.148	2564562.282	590.950		0.724961	0.631725	-3.36077
227125.531	2564569.953	591.100		1.57114	-0.381798	-4.74561
226685.470	2562802.933	653.427		0	0	0
226538.131	2563527.573	601.113		0	0	0
226484.985	2562242.873	592.407		0	0	0
227144.852	2562145.937	644.780		0	0	0
226705.066	2561996.130	536.970		0	0	0
227268.368	2562320.516	635.353		0	0	0
226737.537	2562593.634	632.770		0	0	0
227057.947	2564349.764	629.763		0	0	0
227254.583	2562303.593	643.607		0	0	0
226397.591	2562014.774	541.603		0	0	0
226575.711	2563003.216	639.710		0	0	0
227166.250	2562606.476	596.513		0	0	0
226662.804	2561965.712	536.417		0	0	0
227436.871	2564413.187	592.677		0	0	0
226930.614	2564176.425	685.367		0	0	0
226480.622	2563288.386	631.470		0	0	0
227144.070	2562141.107	645.840		0	0	0
227249.622	2562403.664	572.480		0	0	0
227274.255	2562351.821	609.223		0	0	0
226745.621	2562524.688	625.873		0	0	0
227503.546	2564218.121	611.923		0	0	0
226494.378	2563126.576	629.637		0	0	0
226632.848	2562919.414	620.987		0	0	0
226321.397	2562022.713	562.127		0	0	0
226510.504	2563368.460	642.037		0	0	0
227144.277	2562710.324	592.937		0	0	0
226905.714	2561983.860	573.477		0	0	0
226423.146	2562001.208	540.343		0	0	0
226735.667	2562614.159	627.617		0	0	0
226806.576	2563936.863	662.163		0	0	0
226478.696	2563134.298	644.167		0	0	0
227212.938	2562495.252	588.840		0	0	0
226617.733	2562930.519	623.650		0	0	0
227155.873	2562696.268	595.577		0	0	0
227468.614	2564313.457	597.470		0	0	0
226540.564	2563380.918	627.640		0	0	0
227150.753	2562711.264	593.320		0	0	0
226809.090	2563949.705	659.987		0	0	0
226809.730	2563945.170	660.283		0	0	0
226667.884	2561967.052	536.470		0	0	0
227150.648	2562721.475	590.550		0	0	0
227216.760	2564556.842	590.563		1.60421	-2.47619	-4.69555
226740.787	2562589.240	631.303		0	0	0
227450.061	2564372.482	591.733		0	0	0
226900.337	2561983.743	568.170		0	0	0
226521.623	2563078.942	624.173		0	0	0
226698.040	2561979.496	536.737		0	0	0
226792.358	2563918.105	667.207		0	0	0
227187.492	2562572.508	596.083		0	0	0
226409.004	2562199.941	591.437		0	0	0
226370.325	2562127.925	580.230		0	0	0
226652.818	2563728.349	654.273		0	0	0
226719.501	2563808.888	659.780		0	0	0
226550.907	2563390.345	614.583		0	0	0
226395.717	2562175.827	590.570		0	0	0
226520.512	2563411.050	622.677		0	0	0
226554.474	2561979.625	535.830		0	0	0
227260.687	2563623.589	596.547		0	0	0
226632.303	2561977.893	536.773		0	0	0
226714.195	2562716.534	649.793		0	0	0
226547.125	2563387.637	618.653		0	0	0
227133.981	2563443.625	620.180		0	0	0
227080.280	2564350.417	615.047		0	0	0
227284.127	2562350.087	611.903		0	0	0
227180.005	2563541.131	582.813		0	0	0
227463.599	2564328.402	591.267		0	0	0
227259.486	2562303.700	644.750		0	0	0
226832.741	2561927.302	566.313		0	0	0
227183.312	2562574.534	595.857		0	0	0
226461.397	2563231.473	640.270		0	0	0
227108.238	2563359.661	622.823		0	0	0
226626.463	2563684.664	650.620		0	0	0
226624.478	2563678.863	649.830		0	0	0
226699.085	2563777.084	657.433		0	0	0
226458.666	2563201.328	647.767		0	0	0
226776.194	2563900.009	666.253		0	0	0
227096.580	2564465.248	588.380		1.11809	-1.29393	-2.3392
227076.657	2564347.510	618.047		0	0	0
227374.747	2564537.597	593.153		2.57622	-5.33668	-4.22437
226740.608	2562466.239	629.840		0	0	0
226537.437	2563407.817	612.567		0	0	0
227145.862	2562699.903	594.037		0	0	0
226311.083	2562025.034	563.183		0	0	0
226577.033	2562993.618	640.907		0	0	0
226611.131	2561980.129	536.447		0	0	0
226712.197	2562763.169	637.970		0	0	0
226370.642	2562092.129	569.253		0	0	0
227422.438	2564529.149	594.387		1.15585	0	0
226736.843	2562468.952	629.800		0	0	0
227097.772	2564491.254	589.357		0.29358	0	0
227238.385	2564552.752	591.517		1.40938	-2.98895	-3.25697
226750.356	2562561.014	630.443		0	0	0
226640.600	2562890.515	627.690		0	0	0
226467.298	2562000.963	540.203		0	0	0
227363.439	2563737.200	639.030		0	0	0
227433.762	2564417.287	592.560		0	0	0
227320.574	2563690.855	607.220		0	0	0
226325.249	2562041.166	569.147		0	0	0
227507.250	2564177.132	612.957		0	0	0
227331.179	2563703.155	616.173		0	0	0
226761.327	2563872.132	664.357		0	0	0
227085.378	2564424.338	587.407		2.06073	0.0252748	-2.94414
227121.150	2563399.315	620.230		0	0	0
226738.614	2562708.304	634.880		0	0	0
227255.132	2563622.339	594.327		0	0	0
226571.627	2563616.952	643.327		0	0	0
226735.167	2562705.449	639.250		0	0	0
227495.370	2563985.433	608.967		0	0	0
227123.996	2563462.511	607.623		0	0	0
226555.917	2563596.239	640.067		0	0	0
227061.331	2562088.762	627.477		0	0	0
226548.469	2562279.798	592.763		0	0	0
226722.560	2562722.671	644.807		0	0	0
226541.857	2563407.234	611.657		0	0	0
227106.300	2563336.343	626.930		0	0	0
226715.197	2562753.118	639.590		0	0	0
226381.486	2562147.345	584.937		0	0	0
227370.116	2564534.741	593.200		2.33181	-5.7425	-5.5418
226334.521	2562057.383	570.690		0	0	0
226680.938	2563721.026	648.627		0	0	0
